From	Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
CAG7581582.1	A0A8D9FQM4	A0A8D9FQM4_9VIRU	unreviewed	Structural protein	SLAVMIC_00913	uncultured marine phage	342		
RYF56095.1	A0A4Q3PDH1	A0A4Q3PDH1_9BACT	unreviewed	Molecular chaperone DnaK	EOO39_37170	Cytophagaceae bacterium	318	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	GO:0005524; GO:0140662
PCI97369.1	A0A2A4YS77	A0A2A4YS77_9FLAO	unreviewed	Clp protease ClpC	COB15_07975	Flavobacteriales bacterium	854	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]; proteolysis [GO:0006508]	GO:0005524; GO:0006508; GO:0008233; GO:0016887
OLF75469.1	A0A1Q8FRR0	A0A1Q8FRR0_9PROT	unreviewed	Methyltransf_21 domain-containing protein	AWH62_06540	Maricaulis sp. W15	271		
HCR53737.1	A0A3D4IPL4	A0A3D4IPL4_9BACT	unreviewed	AraC family transcriptional regulator	DIW27_04920	Cytophagales bacterium	442		
OLF75549.1	A0A1Q8FRY9	A0A1Q8FRY9_9PROT	unreviewed	DNA translocase FtsK	AWH62_06250	Maricaulis sp. W15	785	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; cell division [GO:0051301]	GO:0003677; GO:0005524; GO:0005886; GO:0051301
TXJ29493.1	A0A5C8DWE3	A0A5C8DWE3_9BACT	unreviewed	Response regulator transcription factor	E6Q24_01620	Chitinophagaceae bacterium	233	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]	GO:0000160; GO:0003677
PCJ25035.1	A0A2A5B0N9	A0A2A5B0N9_9FLAO	unreviewed	TPR_REGION domain-containing protein	COA97_08645	Flavobacteriales bacterium	471		
HCR55142.1	A0A3D4ISC0	A0A3D4ISC0_9BACT	unreviewed	DUF3667 domain-containing protein	DIW27_12050	Cytophagales bacterium	248	membrane [GO:0016020]	GO:0016020
OFY94063.1	A0A1F3QVS0	A0A1F3QVS0_9BACT	unreviewed	Amidohydrolase	A3K10_13960	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	235	hydrolase activity [GO:0016787]; nitrogen compound metabolic process [GO:0006807]	GO:0006807; GO:0016787
KAB2859745.1	A0A7J5EFB0	A0A7J5EFB0_9FLAO	unreviewed	Trypsin-like serine protease	F9K09_00555	Flavobacteriales bacterium	530	aminopeptidase activity [GO:0004177]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004177; GO:0004252; GO:0006508
PCI93635.1	A0A2A4YH28	A0A2A4YH28_9FLAO	unreviewed	Uncharacterized protein	COB15_16025	Flavobacteriales bacterium	1231	metalloendopeptidase activity [GO:0004222]; proteolysis [GO:0006508]	GO:0004222; GO:0006508
PCJ00429.1	A0A2A4YZW8	A0A2A4YZW8_9FLAO	unreviewed	Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)	accC COB15_02670	Flavobacteriales bacterium	492	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	GO:0003989; GO:0004075; GO:0005524; GO:0006633; GO:0046872; GO:2001295
SNS79356.1	A0A239HD38	A0A239HD38_9BACT	unreviewed	Sensor of ECF-type sigma factor	SAMN05421640_1256	Ekhidna lutea	149		
MAK63417.1	A0A2D7Y1W0	A0A2D7Y1W0_9PROT	unreviewed	Probable multidrug resistance protein NorM	CMF75_01535	Maricaulis sp	321	membrane [GO:0016020]; antiporter activity [GO:0015297]; xenobiotic transmembrane transporter activity [GO:0042910]	GO:0015297; GO:0016020; GO:0042910
HCX21672.1	A0A3D5RXS1	A0A3D5RXS1_9BACT	unreviewed	TPR_REGION domain-containing protein	DHN29_07145	Cytophagales bacterium	331		
PCI99001.1	A0A2A4YWB8	A0A2A4YWB8_9FLAO	unreviewed	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase	COB15_04890	Flavobacteriales bacterium	173	nucleotidyltransferase activity [GO:0016779]; biosynthetic process [GO:0009058]	GO:0009058; GO:0016779
OLF81138.1	A0A1Q8G0K2	A0A1Q8G0K2_9PROT	unreviewed	Peptidase	AWH62_00230	Maricaulis sp. W15	836	metallopeptidase activity [GO:0008237]	GO:0008237
HAI18006.1	A0A3C0F3D8	A0A3C0F3D8_9FLAO	unreviewed	Serine protease	DCM10_08325	Xanthomarina gelatinilytica	96	dipeptidyl-peptidase activity [GO:0008239]; serine-type aminopeptidase activity [GO:0070009]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]	GO:0006508; GO:0008239; GO:0043171; GO:0070009
MAK63911.1	A0A2D7Y394	A0A2D7Y394_9PROT	unreviewed	3-hydroxyacyl-CoA dehydrogenase	CMF75_04065	Maricaulis sp	515	"NAD+ binding [GO:0070403]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; cellular catabolic process [GO:0044248]; fatty acid metabolic process [GO:0006631]; organic substance catabolic process [GO:1901575]"	GO:0006631; GO:0016616; GO:0044248; GO:0070403; GO:1901575
REE05980.1	A0A3D9LGZ2	A0A3D9LGZ2_MARFU	unreviewed	Cell surface protein SprA	C7460_101499	Marinoscillum furvescens DSM 4134	2353		
HBR27563.1	A0A357CL62	A0A357CL62_9HYPH	unreviewed	proton-translocating NAD(P)(+) transhydrogenase (EC 7.1.1.1)	DD732_11110	Hyphomicrobiales bacterium	147	membrane [GO:0016020]	GO:0016020
ODA67526.1	A0A1E2RZ59	A0A1E2RZ59_9HYPH	unreviewed	proton-translocating NAD(P)(+) transhydrogenase (EC 7.1.1.1)	A7A08_01560	Methyloligella halotolerans	94	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]	GO:0016020; GO:0016491
PJB15741.1	A0A2M8AEG5	A0A2M8AEG5_9FLAO	unreviewed	Cell surface protein SprA	sprA CO118_02315	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	1177		
PIZ06590.1	A0A2M7RXG3	A0A2M7RXG3_9FLAO	unreviewed	purine-nucleoside phosphorylase (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	COY57_01160	Flavobacteriales bacterium CG_4_10_14_0_8_um_filter_32_5	253	purine-nucleoside phosphorylase activity [GO:0004731]; nucleoside metabolic process [GO:0009116]	GO:0004731; GO:0009116
ORE87245.1	A0A1Y1SE16	A0A1Y1SE16_9GAMM	unreviewed	3-oxoadipate enol-lactonase	ATO7_09397	Oceanococcus atlanticus	233	catalytic activity [GO:0003824]	GO:0003824
PJB15569.1	A0A2M8ADD3	A0A2M8ADD3_9FLAO	unreviewed	Glyco_trans_2-like domain-containing protein	CO118_02960	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	346	membrane [GO:0016020]	GO:0016020
MBM61413.1	A0A2E7BG14	A0A2E7BG14_9BACT	unreviewed	PAPS_reduct domain-containing protein	CL484_00515	Acidobacteria bacterium	279	catalytic activity [GO:0003824]	GO:0003824
OFY93714.1	A0A1F3QUR2	A0A1F3QUR2_9BACT	unreviewed	Toxin-antitoxin system YwqK family antitoxin	A3K10_17230	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	204		
NVK84874.1	A0A7Y7BG51	A0A7Y7BG51_9BACT	unreviewed	VIT1/CCC1 transporter family protein	HWE21_11175	Cytophagia bacterium	193	membrane [GO:0016020]; manganese ion transmembrane transporter activity [GO:0005384]; cellular manganese ion homeostasis [GO:0030026]	GO:0005384; GO:0016020; GO:0030026
AHI26801.1	W5YCD3	W5YCD3_KOMXY	unreviewed	Transposase	H845_2894	Komagataeibacter xylinus E25	57		
PCJ00430.1	A0A2A4Z115	A0A2A4Z115_9FLAO	unreviewed	BatA domain-containing protein	COB15_02675	Flavobacteriales bacterium	675	membrane [GO:0016020]	GO:0016020
MAU25765.1	A0A2E1BLD9	A0A2E1BLD9_9FLAO	unreviewed	Sodium-translocating pyrophosphatase	CMC34_03335	Flavobacteriaceae bacterium	539	membrane [GO:0016020]; inorganic diphosphate phosphatase activity [GO:0004427]; pyrophosphate hydrolysis-driven proton transmembrane transporter activity [GO:0009678]	GO:0004427; GO:0009678; GO:0016020
TVR44710.1	A0A6I7QNN1	A0A6I7QNN1_9BACT	unreviewed	Thioredoxin family protein	EA394_00105	Bacteroidia bacterium	200	antioxidant activity [GO:0016209]; oxidoreductase activity [GO:0016491]	GO:0016209; GO:0016491
MAZ92021.1	A0A2E2XU58	A0A2E2XU58_9PROT	unreviewed	Serine hydrolase	CMF76_08665	Maricaulis sp	422	peptidase activity [GO:0008233]; proteolysis [GO:0006508]	GO:0006508; GO:0008233
KAB2859597.1	A0A7J5EF12	A0A7J5EF12_9FLAO	unreviewed	General secretion pathway protein L	F9K09_01375	Flavobacteriales bacterium	406	membrane [GO:0016020]	GO:0016020
PCI93984.1	A0A2A4YGZ1	A0A2A4YGZ1_9FLAO	unreviewed	TPR_REGION domain-containing protein	COB15_15195	Flavobacteriales bacterium	918		
CAB4166818.1	A0A6J5PC55	A0A6J5PC55_9CAUD	unreviewed	"Bacteriophage P22, Gp10, DNA-stabilising"	UFOVP835_64	uncultured Caudovirales phage	463		
PCI99893.1	A0A2A4YYE8	A0A2A4YYE8_9FLAO	unreviewed	Cytochrome oxidase subunit III	COB15_03655	Flavobacteriales bacterium	290	plasma membrane [GO:0005886]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646]	GO:0004129; GO:0005886; GO:0019646
OLF77730.1	A0A1Q8FUZ7	A0A1Q8FUZ7_9PROT	unreviewed	Nitrogen fixation protein FixH	AWH62_03395	Maricaulis sp. W15	157	membrane [GO:0016020]	GO:0016020
PCJ23146.1	A0A2A5AWB0	A0A2A5AWB0_9FLAO	unreviewed	Na(+)-translocating NADH-quinone reductase subunit D (Na(+)-NQR subunit D) (Na(+)-translocating NQR subunit D) (EC 7.2.1.1) (NQR complex subunit D) (NQR-1 subunit D)	nqrD COA97_12195	Flavobacteriales bacterium	226	"plasma membrane [GO:0005886]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; sodium ion transport [GO:0006814]"	GO:0005886; GO:0006814; GO:0016655
PJA08055.1	A0A2M7VVN8	A0A2M7VVN8_9FLAO	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	COX70_04785	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	1426	3'-5' exonuclease activity [GO:0008408]; DNA-directed DNA polymerase activity [GO:0003887]; nucleic acid binding [GO:0003676]; DNA replication [GO:0006260]	GO:0003676; GO:0003887; GO:0006260; GO:0008408
MAC38955.1	A0A2D5FRF0	A0A2D5FRF0_9PROT	unreviewed	Sulfotransferase family protein	CMH93_05435	Oceanicaulis sp	336		
OLF71107.1	A0A1Q8FHW2	A0A1Q8FHW2_9PROT	unreviewed	Bifunctional protein PutA [Includes: Proline dehydrogenase (EC 1.5.5.2) (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)]	AWH62_13340	Maricaulis sp. W15	1034	1-pyrroline-5-carboxylate dehydrogenase activity [GO:0003842]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; proline dehydrogenase activity [GO:0004657]; proline biosynthetic process [GO:0006561]; proline catabolic process to glutamate [GO:0010133]	GO:0003677; GO:0003700; GO:0003842; GO:0004657; GO:0006561; GO:0010133
RNC96745.1	A0A7H4KE93	A0A7H4KE93_9HYPH	unreviewed	VOC family protein	ED558_02440	Oricola sp	137		
PJA06927.1	A0A2M7VTU8	A0A2M7VTU8_9FLAO	unreviewed	DUF4340 domain-containing protein	COX70_08505	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	342		
RKR03902.1	A0A495DLV4	A0A495DLV4_9PROT	unreviewed	Localization factor PodJL	C7435_0345	Maricaulis maris	1070		
PIZ06272.1	A0A2M7RVP0	A0A2M7RVP0_9FLAO	unreviewed	phosphopyruvate hydratase (EC 4.2.1.11)	eno COY57_02905	Flavobacteriales bacterium CG_4_10_14_0_8_um_filter_32_5	202	extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096
TIW30754.1	A0A659YHH8	A0A659YHH8_9HYPH	unreviewed	DNA-directed RNA polymerase (EC 2.7.7.6)	E5V72_34205	Mesorhizobium sp	119	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; DNA-templated transcription [GO:0006351]	GO:0000428; GO:0003677; GO:0003899; GO:0006351
KOY86636.1	A0A0M9DSW5	A0A0M9DSW5_9BACT	unreviewed	Acetyltransf_6 domain-containing protein	AD998_11225	bacterium 336/3	388		
QDU62895.1	A0A518B7E6	A0A518B7E6_9BACT	unreviewed	YbjN domain-containing protein	Pan216_37680	Planctomycetes bacterium Pan216	136		
KYG76806.1	A0A150XDP3	A0A150XDP3_9BACT	unreviewed	Peptidase M24	AWN68_05355	Roseivirga echinicomitans	437		
MAC40095.1	A0A2D5FUL2	A0A2D5FUL2_9PROT	unreviewed	histidine kinase (EC 2.7.13.3)	CMH93_11345	Oceanicaulis sp	331	phosphorelay sensor kinase activity [GO:0000155]	GO:0000155
CAG7580916.1	A0A8D9FRP2	A0A8D9FRP2_9VIRU	unreviewed	Baseplate hub + tail lysozyme	gp5 SLAVMIC_00600	uncultured marine phage	540		
PIZ05297.1	A0A2M7RSU5	A0A2M7RSU5_9FLAO	unreviewed	ABC transporter	COY57_08060	Flavobacteriales bacterium CG_4_10_14_0_8_um_filter_32_5	337	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]	GO:0016020; GO:0140359
HIF52176.1	A0A836U003	A0A836U003_9GAMM	unreviewed	VWA domain-containing protein	EYQ42_11735	Thiotrichaceae bacterium	598	membrane [GO:0016020]	GO:0016020
PCI93446.1	A0A2A4YF41	A0A2A4YF41_9FLAO	unreviewed	DUF2490 domain-containing protein	COB15_16385	Flavobacteriales bacterium	214		
PCJ23096.1	A0A2A5AW63	A0A2A5AW63_9FLAO	unreviewed	Dirigent protein	COA97_12375	Flavobacteriales bacterium	71		
MAZ91338.1	A0A2E2XS81	A0A2E2XS81_9PROT	unreviewed	DNA gyrase subunit B (EC 5.6.2.2)	CMF76_05155	Maricaulis sp	581	"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; DNA topological change [GO:0006265]"	GO:0003677; GO:0003918; GO:0005524; GO:0006265; GO:0009330
MBR10696.1	A0A2E8N453	A0A2E8N453_9RICK	unreviewed	carbamoyl-phosphate synthase (glutamine-hydrolyzing) (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	CMP48_23805	Rickettsiales bacterium	505	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; nitrogen compound metabolic process [GO:0006807]	GO:0004088; GO:0005524; GO:0006807; GO:0046872
CAG7579783.1	A0A8D9CBH4	A0A8D9CBH4_9VIRU	unreviewed	DNA primase-helicase subunit	SLAVMIC_00091	uncultured marine phage	448	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; DNA replication [GO:0006260]	GO:0003678; GO:0005524; GO:0006260
PJB14362.1	A0A2M8A9T2	A0A2M8A9T2_9FLAO	unreviewed	DUF4442 domain-containing protein	CO118_09015	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	158	membrane [GO:0016020]	GO:0016020
PCI94917.1	A0A2A4YKQ7	A0A2A4YKQ7_9FLAO	unreviewed	DUF4442 domain-containing protein	COB15_12750	Flavobacteriales bacterium	156	membrane [GO:0016020]	GO:0016020
MAK64262.1	A0A2D7Y4C4	A0A2D7Y4C4_9PROT	unreviewed	Transcriptional regulator MraZ	mraZ CMF75_05890	Maricaulis sp	153	cytoplasm [GO:0005737]; nucleoid [GO:0009295]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0005737; GO:0009295
CAG7580716.1	A0A8D9CFB7	A0A8D9CFB7_9VIRU	unreviewed	Gp14	14 SLAVMIC_00532	uncultured marine phage	890		
RNC85436.1	A0A3M8G5R9	A0A3M8G5R9_9BACT	unreviewed	Sodium-dependent transporter	ED557_01280	Balneola sp	469	membrane [GO:0016020]; symporter activity [GO:0015293]	GO:0015293; GO:0016020
MBI35705.1	A0A2E5RPH5	A0A2E5RPH5_9FLAO	unreviewed	Putative K(+)-stimulated pyrophosphate-energized sodium pump (EC 7.2.3.-) (Membrane-bound sodium-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (Na(+)-PPase)	hppA CMP67_10135	Flavobacteriales bacterium	766	plasma membrane [GO:0005886]; inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyrophosphate hydrolysis-driven proton transmembrane transporter activity [GO:0009678]; sodium ion transport [GO:0006814]	GO:0000287; GO:0004427; GO:0005886; GO:0006814; GO:0009678; GO:0030955
RKR00271.1	A0A495DD87	A0A495DD87_9PROT	unreviewed	Xaa-Pro aminopeptidase	C7435_1475	Maricaulis maris	615	cellular anatomical entity [GO:0110165]; metalloaminopeptidase activity [GO:0070006]	GO:0070006; GO:0110165
PCJ89760.1	A0A2A5GC39	A0A2A5GC39_9FLAO	unreviewed	Glycosyltransferase	COA57_00985	Flavobacteriales bacterium	382	glycosyltransferase activity [GO:0016757]	GO:0016757
PCI94314.1	A0A2A4YHW9	A0A2A4YHW9_9FLAO	unreviewed	BrxA/BrxB family bacilliredoxin	COB15_14540	Flavobacteriales bacterium	136		
PCJ01565.1	A0A2A4Z3K2	A0A2A4Z3K2_9FLAO	unreviewed	RNA polymerase subunit sigma-70	COB15_00050	Flavobacteriales bacterium	153	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]	GO:0003677; GO:0006352; GO:0016987
KPK14681.1	A0A0S8BSU8	A0A0S8BSU8_9DELT	unreviewed	LysR family transcriptional regulator	AMJ62_12180	Myxococcales bacterium SG8_38	294	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700
HCQ12573.1	A0A3D4BGL3	A0A3D4BGL3_FLASP	unreviewed	Type VI secretion system ATPase TssH	DIU01_04800	Flavobacterium sp	345	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016887
PIQ14888.1	A0A2H0G7G7	A0A2H0G7G7_9FLAO	unreviewed	Por_Secre_tail domain-containing protein	COW67_11395	Flavobacteriales bacterium CG18_big_fil_WC_8_21_14_2_50_32_9	279		
TDM00595.1	A0A523Q0H2	A0A523Q0H2_9FLAO	unreviewed	DNA polymerase III subunit epsilon	C4K58_05215	Flavobacteriaceae bacterium	71	nucleic acid binding [GO:0003676]	GO:0003676
QDP54144.1	A0A516LJR4	A0A516LJR4_9VIRU	unreviewed	Putative concanavalin A-like lectin/glucanases superfamily protein	GOVbin4685_4	Prokaryotic dsDNA virus sp	430	carbohydrate binding [GO:0030246]	GO:0030246
MAC38811.1	A0A2D5FQW3	A0A2D5FQW3_9PROT	unreviewed	Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	CMH93_04680	Oceanicaulis sp	352	isomerase activity [GO:0016853]; mannose-1-phosphate guanylyltransferase (GTP) activity [GO:0004475]; polysaccharide biosynthetic process [GO:0000271]	GO:0000271; GO:0004475; GO:0016853
HCD51417.1	A0A3D1G897	A0A3D1G897_9BACT	unreviewed	DUF2268 domain-containing protein	DEQ34_03150	Balneolaceae bacterium	319		
PCJ00637.1	A0A2A4Z0T8	A0A2A4Z0T8_9FLAO	unreviewed	Peptidase M23	COB15_02370	Flavobacteriales bacterium	409		
NKX36311.1	A0A7X6GJ22	A0A7X6GJ22_9ALTE	unreviewed	DNA-directed RNA polymerase (EC 2.7.7.6)	rpoB HGG66_17780	Alteromonadaceae bacterium A_SAG3	708	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; DNA-templated transcription [GO:0006351]	GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0032549
PJB14408.1	A0A2M8A9X4	A0A2M8A9X4_9FLAO	unreviewed	Cell division protein	CO118_08760	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	705	membrane [GO:0016020]; penicillin binding [GO:0008658]; cell division [GO:0051301]	GO:0008658; GO:0016020; GO:0051301
CAG7581209.1	A0A8D9C9E8	A0A8D9C9E8_9VIRU	unreviewed	exoribonuclease II (EC 3.1.13.1)	SLAVMIC_00728	uncultured marine phage	668	cytoplasm [GO:0005737]; exonuclease activity [GO:0004527]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]	GO:0003723; GO:0004527; GO:0004540; GO:0005737
NDP27927.1	A0A7K3MVM9	A0A7K3MVM9_FLASP	unreviewed	XdhC family protein	GZ087_10950	Flavobacterium sp	384		
PWL27727.1	A0A316K0F7	A0A316K0F7_9FLAO	unreviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	lpdA DCO96_10510	Fluviicola sp. XM-24bin1	463	dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; cell redox homeostasis [GO:0045454]	GO:0004148; GO:0045454; GO:0050660
PCJ23222.1	A0A2A5AVF6	A0A2A5AVF6_9FLAO	unreviewed	Probable 2-phosphosulfolactate phosphatase (EC 3.1.3.71)	comB COA97_12150	Flavobacteriales bacterium	246	2-phosphosulfolactate phosphatase activity [GO:0050532]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0050532
MRG73924.1	A0A7X2FY47	A0A7X2FY47_9PROT	unreviewed	DUF1837 domain-containing protein	GH722_19370	Alphaproteobacteria bacterium HT1-32	275		
MAK64455.1	A0A2D7Y4U0	A0A2D7Y4U0_9PROT	unreviewed	Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase)	ahcY CMF75_06895	Maricaulis sp	469	cytoplasm [GO:0005737]; adenosylhomocysteinase activity [GO:0004013]; one-carbon metabolic process [GO:0006730]	GO:0004013; GO:0005737; GO:0006730
RMH45093.1	A0A3M2E275	A0A3M2E275_9PROT	unreviewed	Acyl-CoA synthetase	D6688_06855	Alphaproteobacteria bacterium	631		
PJA08629.1	A0A2M7VWN8	A0A2M7VWN8_9FLAO	unreviewed	A2M_N_2 domain-containing protein	COX70_03220	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	610	endopeptidase inhibitor activity [GO:0004866]	GO:0004866
OLF81319.1	A0A1Q8G130	A0A1Q8G130_9PROT	unreviewed	N-formylglutamate amidohydrolase	AWH62_01205	Maricaulis sp. W15	237		
PIQ50015.1	A0A2H0ITH5	A0A2H0ITH5_9BACT	unreviewed	Dicarboxylate/amino acid:cation symporter	COW03_02035	Cytophagales bacterium CG12_big_fil_rev_8_21_14_0_65_40_12	434	membrane [GO:0016020]; symporter activity [GO:0015293]	GO:0015293; GO:0016020
OFY99680.1	A0A1F3RBX0	A0A1F3RBX0_9BACT	unreviewed	TonB_dep_Rec domain-containing protein	A3K10_04570	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	380		
PCJ00147.1	A0A2A4YZG1	A0A2A4YZG1_9FLAO	unreviewed	Por_Secre_tail domain-containing protein	COB15_03165	Flavobacteriales bacterium	421		
OLF75546.1	A0A1Q8FSB1	A0A1Q8FSB1_9PROT	unreviewed	ABC transporter permease	AWH62_06080	Maricaulis sp. W15	246	plasma membrane [GO:0005886]; ABC-type transporter activity [GO:0140359]	GO:0005886; GO:0140359
TXH40930.1	A0A5C7P3E2	A0A5C7P3E2_9DELT	unreviewed	Phage recombination protein Bet	bet E6Q97_38725	Desulfurellales bacterium	273	DNA binding [GO:0003677]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310
SNT35704.1	A0A239M157	A0A239M157_9BACT	unreviewed	Gliding motility-associated C-terminal domain-containing protein	SAMN05421640_3509	Ekhidna lutea	1716		
OLF81331.1	A0A1Q8G129	A0A1Q8G129_9PROT	unreviewed	Cadherin domain-containing protein	AWH62_01270	Maricaulis sp. W15	1647	extracellular space [GO:0005615]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; proteolysis [GO:0006508]	GO:0005509; GO:0005615; GO:0006508; GO:0007156; GO:0008237; GO:0008270; GO:0016020
MAZ92644.1	A0A2E2XW42	A0A2E2XW42_9PROT	unreviewed	Diguanylate phosphodiesterase	CMF76_11895	Maricaulis sp	157		
CAG7580201.1	A0A8D9FQY5	A0A8D9FQY5_9VIRU	unreviewed	Gp17 terminase large subunit	SLAVMIC_00297	uncultured marine phage	720		
MAZ92250.1	A0A2E2XV10	A0A2E2XV10_9PROT	unreviewed	Anion transporter	CMF76_09855	Maricaulis sp	489	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
KJS07092.1	A0A0F2P3J0	A0A0F2P3J0_9FLAO	unreviewed	Alpha-L-glutamate ligase	VR77_02455	Flavobacteriales bacterium BRH_c54	290	ATP binding [GO:0005524]; ligase activity [GO:0016874]; metal ion binding [GO:0046872]; protein modification process [GO:0036211]; translation [GO:0006412]	GO:0005524; GO:0006412; GO:0016874; GO:0036211; GO:0046872
OFY92905.1	A0A1F3QW56	A0A1F3QW56_9BACT	unreviewed	WbqC-like protein family protein	A3K10_08555	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	233		
MAC37968.1	A0A2D5FNG2	A0A2D5FNG2_9PROT	unreviewed	Efflux RND transporter permease subunit	CMH93_00310	Oceanicaulis sp	286	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; response to toxic substance [GO:0009636]	GO:0005886; GO:0009636; GO:0022857
HCJ20985.1	A0A3D2LG56	A0A3D2LG56_9SPHN	unreviewed	ATP-binding protein	DHV64_05530	Erythrobacter sp	184	ATP binding [GO:0005524]	GO:0005524
RKQ95939.1	A0A495D2E0	A0A495D2E0_9PROT	unreviewed	Cu+-exporting ATPase	C7435_2184	Maricaulis maris	786	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled cation transmembrane transporter activity [GO:0019829]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	GO:0005524; GO:0005886; GO:0016491; GO:0016887; GO:0019829; GO:0046872
OLF74160.1	A0A1Q8FP44	A0A1Q8FP44_9PROT	unreviewed	Flagellar P-ring protein (Basal body P-ring protein)	flgI AWH62_07835	Maricaulis sp. W15	369	"bacterial-type flagellum basal body, distal rod, P ring [GO:0009428]; outer membrane-bounded periplasmic space [GO:0030288]; structural molecule activity [GO:0005198]; bacterial-type flagellum-dependent cell motility [GO:0071973]"	GO:0005198; GO:0009428; GO:0030288; GO:0071973
