From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
WP_075189634.1	A0A495D1Y3	unreviewed	A0A495D1Y3_9PROT	RNA polymerase sigma factor	C7435_2665	Maricaulis maris	180	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]	GO:0003677; GO:0006352; GO:0016987
WP_075191470.1	A0A1Q8FIH7	unreviewed	A0A1Q8FIH7_9PROT	CHAD domain-containing protein	AWH62_13000	Maricaulis sp. W15	566		
WP_075191470.1	A0A495D2L3	unreviewed	A0A495D2L3_9PROT	CHAD domain-containing protein	C7435_2255	Maricaulis maris	566		
WP_075188876.1	A0A495DM37	unreviewed	A0A495DM37_9PROT	Beta-barrel assembly complex subunit BamF	C7435_0430	Maricaulis maris	180		
WP_075190870.1	A0A1Q8FM41	unreviewed	A0A1Q8FM41_9PROT	30S ribosomal protein S3	rpsC AWH62_09885	Maricaulis sp. W15	234	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904
WP_075190870.1	A0A495DKQ4	unreviewed	A0A495DKQ4_9PROT	30S ribosomal protein S3	rpsC C7435_1141	Maricaulis maris	234	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904
WP_011644164.1	Q0AMH4	unreviewed	Q0AMH4_MARMM	SURF1-like protein	Mmar10_2227	Maricaulis maris (strain MCS10)	237	plasma membrane [GO:0005886]	GO:0005886
WP_011642651.1	Q0ART3	unreviewed	Q0ART3_MARMM	Malate/L-lactate dehydrogenase	Mmar10_0711	Maricaulis maris (strain MCS10)	355	oxidoreductase activity [GO:0016491]	GO:0016491
WP_011643750.1	Q0ANN3	unreviewed	Q0ANN3_MARMM	Tetratricopeptide TPR_2 repeat protein	Mmar10_1812	Maricaulis maris (strain MCS10)	713	protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	GO:0006478; GO:0008476
WP_062182219.1	A0A1M5EFU2	unreviewed	A0A1M5EFU2_9BACT	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	purN SAMN05444362_11024	Dysgonomonas macrotermitis	187	phosphoribosylglycinamide formyltransferase activity [GO:0004644]; 'de novo' IMP biosynthetic process [GO:0006189]	GO:0004644; GO:0006189
WP_011642598.1	Q0ARY6	unreviewed	Q0ARY6_MARMM	histidine kinase (EC 2.7.13.3)	Mmar10_0658	Maricaulis maris (strain MCS10)	928	cytoplasm [GO:0005737]; phosphorelay sensor kinase activity [GO:0000155]; chemotaxis [GO:0006935]	GO:0000155; GO:0005737; GO:0006935
WP_011643160.1	Q0AQC4	reviewed	KGUA_MARMM	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk Mmar10_1220	Maricaulis maris (strain MCS10)	218	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; guanylate kinase activity [GO:0004385]; phosphorylation [GO:0016310]	GO:0004385; GO:0005524; GO:0005737; GO:0016310
WP_075190969.1	A0A1Q8FJV5	unreviewed	A0A1Q8FJV5_9PROT	Peptide ABC transporter permease	AWH62_10335	Maricaulis sp. W15	145	membrane [GO:0016020]	GO:0016020
WP_075191356.1	A0A1Q8FI70	unreviewed	A0A1Q8FI70_9PROT	Bacteriophage protein	AWH62_12350	Maricaulis sp. W15	202		
WP_075191356.1	A0A495D2V8	unreviewed	A0A495D2V8_9PROT	Bacteriophage protein	C7435_2357	Maricaulis maris	202		
WP_075189738.1	A0A1Q8FVK2	unreviewed	A0A1Q8FVK2_9PROT	C-type cytochrome biogenesis protein CcmI	AWH62_04185	Maricaulis sp. W15	286	membrane [GO:0016020]; cytochrome complex assembly [GO:0017004]	GO:0016020; GO:0017004
WP_075190498.1	A0A1Q8FNU0	unreviewed	A0A1Q8FNU0_9PROT	histidine kinase (EC 2.7.13.3)	AWH62_07960	Maricaulis sp. W15	853	membrane [GO:0016020]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0016020
WP_011642023.1	Q0ATL1	unreviewed	Q0ATL1_MARMM	histidine kinase (EC 2.7.13.3)	Mmar10_0080	Maricaulis maris (strain MCS10)	829	membrane [GO:0016020]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0016020
WP_011643000.1	Q0AQT4	reviewed	QUEF_MARMM	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	queF Mmar10_1060	Maricaulis maris (strain MCS10)	153	cytoplasm [GO:0005737]; preQ1 synthase activity [GO:0033739]; queuosine biosynthetic process [GO:0008616]	GO:0005737; GO:0008616; GO:0033739
WP_011644372.1	Q0ALW6	unreviewed	Q0ALW6_MARMM	Metallophosphoesterase	Mmar10_2435	Maricaulis maris (strain MCS10)	271	metal ion binding [GO:0046872]	GO:0046872
WP_075189854.1	A0A1Q8FVJ1	unreviewed	A0A1Q8FVJ1_9PROT	Transcriptional regulator	AWH62_04840	Maricaulis sp. W15	330		
WP_011642451.1	Q0ASD3	unreviewed	Q0ASD3_MARMM	Transmembrane protein	Mmar10_0511	Maricaulis maris (strain MCS10)	144	membrane [GO:0016020]	GO:0016020
WP_075191005.1	A0A1Q8FJZ8	unreviewed	A0A1Q8FJZ8_9PROT	Osmotically inducible protein C	AWH62_10545	Maricaulis sp. W15	409		
WP_075190070.1	A0A1Q8FRC8	unreviewed	A0A1Q8FRC8_9PROT	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	AWH62_05750	Maricaulis sp. W15	259	2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase (ubiquinone) activity [GO:0008177]; tricarboxylic acid cycle [GO:0006099]	GO:0006099; GO:0008177; GO:0009055; GO:0046872; GO:0051537; GO:0051538; GO:0051539
WP_075190070.1	A0A495D3Y1	unreviewed	A0A495D3Y1_9PROT	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	C7435_1943	Maricaulis maris	259	2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase (ubiquinone) activity [GO:0008177]; tricarboxylic acid cycle [GO:0006099]	GO:0006099; GO:0008177; GO:0009055; GO:0046872; GO:0051537; GO:0051538; GO:0051539
WP_075189083.1	A0A1Q8FZS4	unreviewed	A0A1Q8FZS4_9PROT	Cytochrome c oxidase assembly protein CtaG	ctaG AWH62_14215	Maricaulis sp. W15	188	plasma membrane [GO:0005886]; copper ion binding [GO:0005507]; respiratory chain complex IV assembly [GO:0008535]	GO:0005507; GO:0005886; GO:0008535
WP_075189083.1	A0A495DDR9	unreviewed	A0A495DDR9_9PROT	Cytochrome c oxidase assembly protein CtaG	ctaG C7435_1670	Maricaulis maris	188	plasma membrane [GO:0005886]; copper ion binding [GO:0005507]; respiratory chain complex IV assembly [GO:0008535]	GO:0005507; GO:0005886; GO:0008535
WP_011644115.1	Q0AML7	unreviewed	Q0AML7_MARMM	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS Mmar10_2178	Maricaulis maris (strain MCS10)	738	cytoplasm [GO:0005737]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; arginyl-tRNA aminoacylation [GO:0006420]; glycyl-tRNA aminoacylation [GO:0006426]	GO:0004814; GO:0004820; GO:0005524; GO:0005737; GO:0006420; GO:0006426
WP_068412833.1	A0A150XV52	unreviewed	A0A150XV52_9BACT	Pesticidal protein Cry7Aa	AWN68_14445	Roseivirga echinicomitans	347	glycosyltransferase activity [GO:0016757]	GO:0016757
WP_011643868.1	Q0ANB4	unreviewed	Q0ANB4_MARMM	Flagellar biosynthetic protein FliR	Mmar10_1931	Maricaulis maris (strain MCS10)	250	bacterial-type flagellum basal body [GO:0009425]; plasma membrane [GO:0005886]; bacterial-type flagellum assembly [GO:0044780]; protein targeting [GO:0006605]	GO:0005886; GO:0006605; GO:0009425; GO:0044780
WP_011643246.1	Q0AQ38	unreviewed	Q0AQ38_MARMM	DUF3971 domain-containing protein	Mmar10_1307	Maricaulis maris (strain MCS10)	1162	membrane [GO:0016020]	GO:0016020
WP_075189640.1	A0A1Q8FVB8	unreviewed	A0A1Q8FVB8_9PROT	Oxidoreductase	AWH62_03655	Maricaulis sp. W15	238	oxidoreductase activity [GO:0016491]	GO:0016491
WP_075189640.1	A0A495D1Z1	unreviewed	A0A495D1Z1_9PROT	NAD(P)-dependent dehydrogenase (Short-subunit alcohol dehydrogenase family)	C7435_2659	Maricaulis maris	238	oxidoreductase activity [GO:0016491]	GO:0016491
WP_075190729.1	A0A1Q8FLP1	unreviewed	A0A1Q8FLP1_9PROT	Amidohydrolase	AWH62_09070	Maricaulis sp. W15	475	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]	GO:0016810
WP_011643156.1	Q0AQC8	reviewed	ACP_MARMM	Acyl carrier protein (ACP)	acpP Mmar10_1216	Maricaulis maris (strain MCS10)	78	cytoplasm [GO:0005737]; acyl carrier activity [GO:0000036]	GO:0000036; GO:0005737
WP_011643051.1	Q0AQN3	unreviewed	Q0AQN3_MARMM	Amidase	Mmar10_1111	Maricaulis maris (strain MCS10)	583	catalytic activity [GO:0003824]	GO:0003824
WP_075191471.1	A0A1Q8FIJ7	unreviewed	A0A1Q8FIJ7_9PROT	DUF1254 domain-containing protein	AWH62_13010	Maricaulis sp. W15	179	membrane [GO:0016020]	GO:0016020
WP_011643802.1	Q0ANI0	unreviewed	Q0ANI0_MARMM	GCN5-related N-acetyltransferase	Mmar10_1865	Maricaulis maris (strain MCS10)	175	acetyltransferase activity [GO:0016407]	GO:0016407
WP_011643803.1	Q0ANH9	unreviewed	Q0ANH9_MARMM	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt Mmar10_1866	Maricaulis maris (strain MCS10)	380	queuine tRNA-ribosyltransferase activity [GO:0008479]; queuosine biosynthetic process [GO:0008616]; tRNA-guanine transglycosylation [GO:0101030]	GO:0008479; GO:0008616; GO:0101030
WP_011642242.1	Q0ASZ2	unreviewed	Q0ASZ2_MARMM	Glutamate synthase (NADPH) large subunit (EC 1.4.1.13)	Mmar10_0302	Maricaulis maris (strain MCS10)	1509	3 iron, 4 sulfur cluster binding [GO:0051538]; glutamate synthase (NADPH) activity [GO:0004355]; metal ion binding [GO:0046872]; glutamate biosynthetic process [GO:0006537]; glutamine metabolic process [GO:0006541]	GO:0004355; GO:0006537; GO:0006541; GO:0046872; GO:0051538
WP_075190207.1	A0A1Q8FRR3	unreviewed	A0A1Q8FRR3_9PROT	6-O-methylguanine DNA methyltransferase	AWH62_06495	Maricaulis sp. W15	282	DNA-binding transcription factor activity [GO:0003700]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; sequence-specific DNA binding [GO:0043565]; DNA repair [GO:0006281]; methylation [GO:0032259]	GO:0003700; GO:0003908; GO:0006281; GO:0032259; GO:0043565
WP_075190207.1	A0A495D5R4	unreviewed	A0A495D5R4_9PROT	DNA-O6-methylguanine--protein-cysteine S-methyltransferase /transcriptional regulator Ada	C7435_2093	Maricaulis maris	282	DNA-binding transcription factor activity [GO:0003700]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; sequence-specific DNA binding [GO:0043565]; DNA repair [GO:0006281]; methylation [GO:0032259]	GO:0003700; GO:0003908; GO:0006281; GO:0032259; GO:0043565
WP_011643729.1	Q0ANQ4	reviewed	RS19_MARMM	30S ribosomal protein S19	rpsS Mmar10_1791	Maricaulis maris (strain MCS10)	92	cytoplasm [GO:0005737]; small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005737; GO:0006412; GO:0015935; GO:0019843
WP_011643729.1	A0A495DKQ3	unreviewed	A0A495DKQ3_9PROT	30S ribosomal protein S19	rpsS C7435_1143	Maricaulis maris	92	cytoplasm [GO:0005737]; small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005737; GO:0006412; GO:0015935; GO:0019843
WP_075191568.1	A0A1Q8FHS4	unreviewed	A0A1Q8FHS4_9PROT	Deoxyhypusine synthase-like protein (EC 2.5.-.-)	AWH62_13520	Maricaulis sp. W15	348	transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; peptidyl-lysine modification to peptidyl-hypusine [GO:0008612]	GO:0008612; GO:0016765
WP_075191568.1	A0A495D4K2	unreviewed	A0A495D4K2_9PROT	Deoxyhypusine synthase-like protein (EC 2.5.-.-)	C7435_2413	Maricaulis maris	348	transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; peptidyl-lysine modification to peptidyl-hypusine [GO:0008612]	GO:0008612; GO:0016765
WP_075188711.1	A0A1Q8G199	unreviewed	A0A1Q8G199_9PROT	DNA recombination protein RmuC homolog	AWH62_01665	Maricaulis sp. W15	487	membrane [GO:0016020]	GO:0016020
WP_075189797.1	A0A1Q8FVR8	unreviewed	A0A1Q8FVR8_9PROT	Septum formation initiator	AWH62_04520	Maricaulis sp. W15	112		
WP_075190349.1	A0A1Q8FNF1	unreviewed	A0A1Q8FNF1_9PROT	5-oxoprolinase	AWH62_07095	Maricaulis sp. W15	1190	hydrolase activity [GO:0016787]	GO:0016787
WP_075189478.1	A0A1Q8FW80	unreviewed	A0A1Q8FW80_9PROT	Basal-body rod modification protein FlgD	AWH62_16195	Maricaulis sp. W15	222	bacterial-type flagellum organization [GO:0044781]	GO:0044781
WP_075189478.1	A0A495DP44	unreviewed	A0A495DP44_9PROT	Basal-body rod modification protein FlgD	C7435_0504	Maricaulis maris	222	bacterial-type flagellum organization [GO:0044781]	GO:0044781
WP_011644162.1	Q0AMH6	unreviewed	Q0AMH6_MARMM	Diguanylate phosphodiesterase	Mmar10_2225	Maricaulis maris (strain MCS10)	379		
WP_075189463.1	A0A1Q8FW70	unreviewed	A0A1Q8FW70_9PROT	TonB-dependent receptor	AWH62_16115	Maricaulis sp. W15	694	cell outer membrane [GO:0009279]; heme transmembrane transporter activity [GO:0015232]	GO:0009279; GO:0015232
WP_075189016.1	A0A1Q8FZK5	unreviewed	A0A1Q8FZK5_9PROT	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB AWH62_13850	Maricaulis sp. W15	721	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]	GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432; GO:0016887
WP_075189779.1	A0A1Q8FVJ9	unreviewed	A0A1Q8FVJ9_9PROT	UDP-2,3-diacylglucosamine pyrophosphatase	AWH62_04410	Maricaulis sp. W15	280		
WP_075191244.1	A0A1Q8FJ39	unreviewed	A0A1Q8FJ39_9PROT	3-hydroxy-3-methylglutaryl-CoA lyase	AWH62_11710	Maricaulis sp. W15	302	metal ion binding [GO:0046872]; oxo-acid-lyase activity [GO:0016833]	GO:0016833; GO:0046872
WP_011644229.1	Q0AMA9	unreviewed	Q0AMA9_MARMM	Helicase domain protein	Mmar10_2292	Maricaulis maris (strain MCS10)	925	helicase activity [GO:0004386]	GO:0004386
WP_075189829.1	A0A1Q8FVR5	unreviewed	A0A1Q8FVR5_9PROT	Phosphoribosyl 1,2-cyclic phosphodiesterase	AWH62_04700	Maricaulis sp. W15	283		
WP_055672081.1	A0A0M7A725	unreviewed	A0A0M7A725_9HYPH	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs_1 dxs LAX5112_02499	Roseibium alexandrii	653	1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; 1-deoxy-D-xylulose 5-phosphate biosynthetic process [GO:0052865]; terpenoid biosynthetic process [GO:0016114]; thiamine biosynthetic process [GO:0009228]	GO:0000287; GO:0008661; GO:0009228; GO:0016114; GO:0030976; GO:0052865
WP_075190922.1	A0A1Q8FJR5	unreviewed	A0A1Q8FJR5_9PROT	AsmA family protein	AWH62_10055	Maricaulis sp. W15	701		
WP_011644990.1	Q0AK47	unreviewed	Q0AK47_MARMM	UBA/THIF-type NAD/FAD binding protein	Mmar10_3065	Maricaulis maris (strain MCS10)	247	ubiquitin-like modifier activating enzyme activity [GO:0008641]	GO:0008641
WP_075190107.1	A0A1Q8FRB5	unreviewed	A0A1Q8FRB5_9PROT	Esterase	AWH62_05940	Maricaulis sp. W15	379	peptidase activity [GO:0008233]; proteolysis [GO:0006508]	GO:0006508; GO:0008233
WP_011643342.1	Q0APU2	unreviewed	Q0APU2_MARMM	Anthranilate synthase component 1 (EC 4.1.3.27)	trpE Mmar10_1403	Maricaulis maris (strain MCS10)	498	anthranilate synthase activity [GO:0004049]; metal ion binding [GO:0046872]; tryptophan biosynthetic process [GO:0000162]	GO:0000162; GO:0004049; GO:0046872
WP_011643757.1	Q0ANM5	unreviewed	Q0ANM5_MARMM	Glutathione S-transferase-like protein	Mmar10_1820	Maricaulis maris (strain MCS10)	201	transferase activity [GO:0016740]	GO:0016740
WP_011643917.1	Q0AN65	unreviewed	Q0AN65_MARMM	Cytochrome c domain-containing protein	Mmar10_1980	Maricaulis maris (strain MCS10)	374	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0009055; GO:0020037; GO:0046872
WP_011642684.1	Q0ARQ0	unreviewed	Q0ARQ0_MARMM	Metal-dependent hydrolase	Mmar10_0744	Maricaulis maris (strain MCS10)	218		
WP_011643687.1	Q0ANU6	unreviewed	Q0ANU6_MARMM	Ion transport 2 domain protein	Mmar10_1749	Maricaulis maris (strain MCS10)	150	membrane [GO:0016020]	GO:0016020
WP_011643943.1	Q0AN39	unreviewed	Q0AN39_MARMM	Glycosyl transferase, group 1	Mmar10_2006	Maricaulis maris (strain MCS10)	431	glycosyltransferase activity [GO:0016757]	GO:0016757
WP_011643237.1	Q0AQ47	unreviewed	Q0AQ47_MARMM	Penicillin-binding protein 1A (EC 2.4.1.129) (EC 3.4.16.4)	Mmar10_1298	Maricaulis maris (strain MCS10)	833	plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; response to antibiotic [GO:0046677]	GO:0005886; GO:0006508; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0046677
WP_075191256.1	A0A1Q8FJ45	unreviewed	A0A1Q8FJ45_9PROT	Acyl-phosphate glycerol 3-phosphate acyltransferase	AWH62_11775	Maricaulis sp. W15	244	membrane [GO:0016020]; acyltransferase activity [GO:0016746]	GO:0016020; GO:0016746
WP_075191257.1	A0A1Q8FJ41	unreviewed	A0A1Q8FJ41_9PROT	DUF218 domain-containing protein	AWH62_11780	Maricaulis sp. W15	195		
WP_075191257.1	A0A495CY90	unreviewed	A0A495CY90_9PROT	Uncharacterized SAM-binding protein YcdF (DUF218 family)	C7435_3198	Maricaulis maris	195		
WP_011643716.1	Q0ANR7	reviewed	RS5_MARMM	30S ribosomal protein S5	rpsE Mmar10_1778	Maricaulis maris (strain MCS10)	201	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015935; GO:0019843
WP_011643946.1	Q0AN36	unreviewed	Q0AN36_MARMM	Class I SAM-dependent methyltransferase	Mmar10_2009	Maricaulis maris (strain MCS10)	200		
WP_075085001.1	A0A5B9P9B5	unreviewed	A0A5B9P9B5_9BACT	Acyl-CoA dehydrogenase (EC 1.3.99.-)	mmgC MFFC18_28320	Mariniblastus fucicola	703	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	GO:0016627; GO:0050660
WP_075189049.1	A0A1Q8FZL3	unreviewed	A0A1Q8FZL3_9PROT	Response regulatory domain-containing protein	AWH62_14030	Maricaulis sp. W15	156	phosphorelay signal transduction system [GO:0000160]	GO:0000160
WP_075189049.1	A0A495DDR0	unreviewed	A0A495DDR0_9PROT	CheY-like chemotaxis protein	C7435_1628	Maricaulis maris	156	phosphorelay signal transduction system [GO:0000160]	GO:0000160
WP_011644166.1	Q0AMH2	unreviewed	Q0AMH2_MARMM	cytochrome-c oxidase (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III)	Mmar10_2229	Maricaulis maris (strain MCS10)	284	plasma membrane [GO:0005886]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646]	GO:0004129; GO:0005886; GO:0019646
WP_011644813.1	Q0AKM4	reviewed	AHPD_MARMM	Alkyl hydroperoxide reductase AhpD (EC 1.11.1.28) (Alkylhydroperoxidase AhpD)	ahpD Mmar10_2888	Maricaulis maris (strain MCS10)	173	alkyl hydroperoxide reductase activity [GO:0008785]; hydroperoxide reductase activity [GO:0032843]; peroxiredoxin activity [GO:0051920]; response to oxidative stress [GO:0006979]	GO:0006979; GO:0008785; GO:0032843; GO:0051920
WP_075190040.1	A0A1Q8FR69	unreviewed	A0A1Q8FR69_9PROT	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	AWH62_05590	Maricaulis sp. W15	466	dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; cell redox homeostasis [GO:0045454]	GO:0004148; GO:0045454; GO:0050660
WP_008226359.1	B7RQF6	unreviewed	B7RQF6_ROSS0	Cysteine synthase (EC 2.5.1.47)	cysB RGAI101_1300	Roseobacter sp. (strain GAI101)	344	cysteine synthase activity [GO:0004124]; cysteine biosynthetic process from serine [GO:0006535]	GO:0004124; GO:0006535
WP_075190637.1	A0A1Q8FLG7	unreviewed	A0A1Q8FLG7_9PROT	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ AWH62_08540	Maricaulis sp. W15	123	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; DNA-templated transcription [GO:0006351]	GO:0000428; GO:0003677; GO:0003899; GO:0006351
WP_075190637.1	A0A495DK39	unreviewed	A0A495DK39_9PROT	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ C7435_0877	Maricaulis maris	123	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; DNA-templated transcription [GO:0006351]	GO:0000428; GO:0003677; GO:0003899; GO:0006351
WP_011643167.1	Q0AQB7	unreviewed	Q0AQB7_MARMM	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA Mmar10_1227	Maricaulis maris (strain MCS10)	494	cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]; proteolysis [GO:0006508]	GO:0005737; GO:0006508; GO:0030145; GO:0070006
WP_075190242.1	A0A1Q8FRU9	unreviewed	A0A1Q8FRU9_9PROT	Universal stress protein	AWH62_06685	Maricaulis sp. W15	158		
WP_075190242.1	A0A495D6N1	unreviewed	A0A495D6N1_9PROT	Universal stress protein family protein	C7435_2132	Maricaulis maris	158		
WP_011643449.1	Q0API5	unreviewed	Q0API5_MARMM	Lipid A ABC exporter family, fused ATPase and inner membrane subunits	Mmar10_1510	Maricaulis maris (strain MCS10)	628	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]	GO:0005524; GO:0016020; GO:0140359
WP_011644119.1	Q0AML3	unreviewed	Q0AML3_MARMM	Methyltransferase small	Mmar10_2182	Maricaulis maris (strain MCS10)	242	nucleic acid binding [GO:0003676]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; cellular macromolecule metabolic process [GO:0044260]; macromolecule modification [GO:0043412]; methylation [GO:0032259]; nitrogen compound metabolic process [GO:0006807]; primary metabolic process [GO:0044238]	GO:0003676; GO:0006807; GO:0008757; GO:0032259; GO:0043412; GO:0044238; GO:0044260
WP_075189824.1	A0A1Q8FVF8	unreviewed	A0A1Q8FVF8_9PROT	Trk system potassium uptake protein TrkH	AWH62_04675	Maricaulis sp. W15	467	membrane [GO:0016020]; cation transmembrane transporter activity [GO:0008324]; potassium ion transport [GO:0006813]	GO:0006813; GO:0008324; GO:0016020
WP_011642662.1	Q0ARS2	unreviewed	Q0ARS2_MARMM	GATase1_like domain-containing protein	Mmar10_0722	Maricaulis maris (strain MCS10)	696	membrane [GO:0016020]	GO:0016020
WP_075189896.1	A0A1Q8FVN8	unreviewed	A0A1Q8FVN8_9PROT	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB AWH62_05095	Maricaulis sp. W15	160	RNA binding [GO:0003723]; DNA-templated transcription termination [GO:0006353]; regulation of DNA-templated transcription [GO:0006355]; transcription antitermination [GO:0031564]	GO:0003723; GO:0006353; GO:0006355; GO:0031564
WP_075189896.1	A0A495DJY8	unreviewed	A0A495DJY8_9PROT	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB C7435_0826	Maricaulis maris	160	RNA binding [GO:0003723]; DNA-templated transcription termination [GO:0006353]; regulation of DNA-templated transcription [GO:0006355]; transcription antitermination [GO:0031564]	GO:0003723; GO:0006353; GO:0006355; GO:0031564
WP_075189897.1	A0A1Q8FVN4	unreviewed	A0A1Q8FVN4_9PROT	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH AWH62_05100	Maricaulis sp. W15	142	riboflavin synthase complex [GO:0009349]; 6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]; riboflavin biosynthetic process [GO:0009231]	GO:0000906; GO:0009231; GO:0009349
WP_011642319.1	Q0ASR5	unreviewed	Q0ASR5_MARMM	TonB-dependent receptor	Mmar10_0379	Maricaulis maris (strain MCS10)	888	cell outer membrane [GO:0009279]	GO:0009279
