id,gene_id,gene_name,KO
2641944500,K07738,transcriptional repressor NrdR,K07738
2641944501,K02718,photosystem II PsbT protein,K02718
2641944502,K02704,photosystem II CP47 chlorophyll apoprotein,K02704
2641944505,K02690,photosystem I P700 chlorophyll a apoprotein A2,K02690
2641944506,K02689,photosystem I P700 chlorophyll a apoprotein A1,K02689
2641944509,K08481,circadian clock protein KaiB,K08481
2641944516,K03969,phage shock protein A,K03969
2641944517,K03969,phage shock protein A,K03969
2641944518,K03810,virulence factor,K03810
2641944519,K00931,glutamate 5-kinase [EC:2.7.2.11],K00931
2641944520,K15539,cytoskeleton protein RodZ,K15539
2641944523,K07496,putative transposase,K07496
2641944526,K02705,photosystem II CP43 chlorophyll apoprotein,K02705
2641944528,K07496,putative transposase,K07496
2641944529,K02290,phycobilisome rod-core linker protein,K02290
2641944535,K07259,serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],K07259
2641944536,K03621,phosphate acyltransferase [EC:2.3.1.274],K03621
2641944537,K00648,3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],K00648
2641944539,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51],K00655
2641944542,K23504,protein SERAC1,K23504
2641944547,K10960,geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111],K10960
2641944553,K03403,magnesium chelatase subunit H [EC:6.6.1.1],K03403
2641944556,K09001,anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170],K09001
2641944557,K20074,PPM family protein phosphatase [EC:3.1.3.16],K20074
2641944558,K03688,ubiquinone biosynthesis protein,K03688
2641944561,K10206,LL-diaminopimelate aminotransferase [EC:2.6.1.83],K10206
2641944567,K07496,putative transposase,K07496
2641944568,K07496,putative transposase,K07496
2641944569,K00856,adenosine kinase [EC:2.7.1.20],K00856
2641944570,K02897,large subunit ribosomal protein L25,K02897
2641944571,K01939,adenylosuccinate synthase [EC:6.3.4.4],K01939
2641944575,K04773,protease IV [EC:3.4.21.-],K04773
2641944576,K06208,chorismate mutase [EC:5.4.99.5],K06208
2641944577,K00548,5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13],K00548
2641944585,K24288,MMP 1-O-methyltransferase [EC:2.1.1.365],K24288
2641944594,K05575,NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2],K05575
2641944595,K02899,large subunit ribosomal protein L27,K02899
2641944596,K02888,large subunit ribosomal protein L21,K02888
2641944598,K03695,ATP-dependent Clp protease ATP-binding subunit ClpB,K03695
2641944600,K11720,lipopolysaccharide export system permease protein,K11720
2641944605,K07079,uncharacterized protein,K07079
2641944607,K04564,"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",K04564
2641944610,K15744,zeta-carotene isomerase [EC:5.2.1.12],K15744
2641944611,K21900,"LysR family transcriptional regulator, transcriptional activator of the cysJI operon",K21900
2641944616,K04077,chaperonin GroEL [EC:5.6.1.7],K04077
2641944618,K02884,large subunit ribosomal protein L19,K02884
2641944620,K03073,preprotein translocase subunit SecE,K03073
2641944621,K02601,transcription termination/antitermination protein NusG,K02601
2641944622,K02867,large subunit ribosomal protein L11,K02867
2641944623,K02863,large subunit ribosomal protein L1,K02863
2641944625,K02864,large subunit ribosomal protein L10,K02864
2641944626,K02935,large subunit ribosomal protein L7/L12,K02935
2641944627,K02171,"BlaI family transcriptional regulator, penicillinase repressor",K02171
2641944629,K00682,gamma-glutamylcyclotransferase [EC:4.3.2.9],K00682
2641944630,K07079,uncharacterized protein,K07079
2641944631,K08999,uncharacterized protein,K08999
2641944632,K00793,riboflavin synthase [EC:2.5.1.9],K00793
2641944640,K25570,8-amino-7-oxononanoate carboxylating dehydrogenase [EC:2.6.1.121],K25570
2641944643,K05337,ferredoxin,K05337
2641944648,K00788,thiamine-phosphate pyrophosphorylase [EC:2.5.1.3],K00788
2641944649,K03154,sulfur carrier protein,K03154
2641944656,K06917,tRNA 2-selenouridine synthase [EC:2.9.1.3],K06917
2641944658,K04047,starvation-inducible DNA-binding protein,K04047
2641944661,K01784,UDP-glucose 4-epimerase [EC:5.1.3.2],K01784
2641944677,K03113,translation initiation factor 1,K03113
2641944679,K03703,excinuclease ABC subunit C,K03703
2641944680,K03703,excinuclease ABC subunit C,K03703
2641944685,K01897,long-chain acyl-CoA synthetase [EC:6.2.1.3],K01897
2641944688,K00344,NADPH:quinone reductase [EC:1.6.5.5],K00344
2641944692,K02069,UDP-glucose/iron transport system permease protein,K02069
2641944693,K13017,UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98],K13017
2641944694,K03688,ubiquinone biosynthesis protein,K03688
2641944697,K01953,asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4],K01953
2641944711,K07496,putative transposase,K07496
2641944718,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
2641944727,K06338,spore coat protein SA,K06338
2641944732,K08902,photosystem II Psb27 protein,K08902
2641944736,K15918,D-glycerate 3-kinase [EC:2.7.1.31],K15918
2641944740,K08480,circadian clock protein KaiA,K08480
2641944741,K08481,circadian clock protein KaiB,K08481
2641944742,K08482,circadian clock protein KaiC,K08482
2641944745,K07089,uncharacterized protein,K07089
2641944746,K08986,putative membrane protein,K08986
2641944748,K00864,glycerol kinase [EC:2.7.1.30],K00864
2641944750,K06891,ATP-dependent Clp protease adaptor protein ClpS,K06891
2641944751,K04039,light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7],K04039
2641944759,K06338,spore coat protein SA,K06338
2641944762,K00645,[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39],K00645
2641944771,K07496,putative transposase,K07496
2641944772,K07496,putative transposase,K07496
2641944773,K05575,NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2],K05575
2641944787,K08963,methylthioribose-1-phosphate isomerase [EC:5.3.1.23],K08963
2641944792,K03465,thymidylate synthase (FAD) [EC:2.1.1.148],K03465
2641944793,K01520,dUTP pyrophosphatase [EC:3.6.1.23],K01520
2641944794,K01493,dCMP deaminase [EC:3.5.4.12],K01493
2641944798,K00989,ribonuclease PH [EC:2.7.7.56],K00989
2641944799,K05515,penicillin-binding protein 2 [EC:3.4.16.4],K05515
2641944801,K08309,soluble lytic murein transglycosylase [EC:4.2.2.-],K08309
2641944804,K01611,S-adenosylmethionine decarboxylase [EC:4.1.1.50],K01611
2641944806,K09457,7-cyano-7-deazaguanine reductase [EC:1.7.1.13],K09457
2641944808,K00721,dolichol-phosphate mannosyltransferase [EC:2.4.1.83],K00721
2641944810,K19092,toxin ParE1/3/4,K19092
2641944813,K01868,threonyl-tRNA synthetase [EC:6.1.1.3],K01868
2641944814,K02002,glycine betaine/proline transport system substrate-binding protein,K02002
2641944816,K02939,large subunit ribosomal protein L9,K02939
2641944819,K02314,replicative DNA helicase [EC:5.6.2.3],K02314
2641944831,K03787,5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6],K03787
2641944832,K01889,phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20],K01889
2641944835,K03798,cell division protease FtsH [EC:3.4.24.-],K03798
2641944836,K07491,REP-associated tyrosine transposase,K07491
2641944840,K01704,3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35],K01704
2641944842,K03688,ubiquinone biosynthesis protein,K03688
2641944856,K06187,recombination protein RecR,K06187
2641944857,K01788,N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9],K01788
2641944862,K06978,uncharacterized protein,K06978
2641944865,K00759,adenine phosphoribosyltransferase [EC:2.4.2.7],K00759
2641944866,K02033,peptide/nickel transport system permease protein,K02033
2641944869,K10914,"CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",K10914
2641944872,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
2641944885,K05795,tellurium resistance protein TerD,K05795
2641944886,K02528,16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182],K02528
2641944892,K00796,dihydropteroate synthase [EC:2.5.1.15],K00796
2641944893,K02033,peptide/nickel transport system permease protein,K02033
2641944894,K00276,primary-amine oxidase [EC:1.4.3.21],K00276
2641944901,K04708,3-dehydrosphinganine reductase [EC:1.1.1.102],K04708
2641944902,K03671,thioredoxin 1,K03671
2641944903,K03671,thioredoxin 1,K03671
2641944912,K07052,CAAX protease family protein,K07052
2641944917,K04066,primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4],K04066
2641944918,K00059,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],K00059
2641944921,K06926,uncharacterized protein,K06926
2641944925,K06374,spore maturation protein B,K06374
2641944926,K06373,spore maturation protein A,K06373
2641944929,K10914,"CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",K10914
2641944930,K02837,peptide chain release factor 3,K02837
2641944931,K03547,DNA repair protein SbcD/Mre11,K03547
2641944933,K01470,creatinine amidohydrolase [EC:3.5.2.10],K01470
2641944940,K02834,ribosome-binding factor A,K02834
2641944946,K11473,glycolate dehydrogenase iron-sulfur subunit [EC:1.1.99.14],K11473
2641944952,K03885,NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9],K03885
2641944953,K01890,phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20],K01890
2641944954,K09942,uncharacterized protein,K09942
2641944958,K01551,arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-],K01551
2641944962,K02338,DNA polymerase III subunit beta [EC:2.7.7.7],K02338
2641944965,K02338,DNA polymerase III subunit beta [EC:2.7.7.7],K02338
2641944969,K02950,small subunit ribosomal protein S12,K02950
2641944970,K02992,small subunit ribosomal protein S7,K02992
2641944971,K02355,elongation factor G,K02355
2641944973,K02358,elongation factor Tu,K02358
2641944974,K02946,small subunit ribosomal protein S10,K02946
2641944975,K07157,uncharacterized protein,K07157
2641944977,K04518,prephenate dehydratase [EC:4.2.1.51],K04518
2641944985,K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],K00558
2641944986,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
2641944990,K06153,undecaprenyl-diphosphatase [EC:3.6.1.27],K06153
2641944992,K02719,photosystem II PsbU protein,K02719
2641944993,K06971,uncharacterized protein,K06971
2641945005,K02021,putative ABC transport system ATP-binding protein,K02021
2641945008,K03310,"alanine or glycine:cation symporter, AGCS family",K03310
2641945009,K03310,"alanine or glycine:cation symporter, AGCS family",K03310
2641945011,K01008,"selenide, water dikinase [EC:2.7.9.3]",K01008
2641945015,K00215,4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],K00215
2641945016,K03405,magnesium chelatase subunit I [EC:6.6.1.1],K03405
2641945019,K09800,translocation and assembly module TamB,K09800
2641945021,K07106,N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126],K07106
2641945022,K01448,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],K01448
2641945026,K21480,"heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]",K21480
2641945028,K03977,GTPase,K03977
2641945031,K02471,vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein,K02471
2641945034,K15256,tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-],K15256
2641945036,K15460,tRNA1Val (adenine37-N6)-methyltransferase [EC:2.1.1.223],K15460
2641945037,K02986,small subunit ribosomal protein S4,K02986
2641945044,K01657,anthranilate synthase component I [EC:4.1.3.27],K01657
2641945045,K02692,photosystem I subunit II,K02692
2641945053,K01069,hydroxyacylglutathione hydrolase [EC:3.1.2.6],K01069
2641945055,K00721,dolichol-phosphate mannosyltransferase [EC:2.4.1.83],K00721
2641945060,K00800,3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19],K00800
2641945067,K07494,putative transposase,K07494
2641945069,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
2641945072,K06223,DNA adenine methylase [EC:2.1.1.72],K06223
2641945075,K05382,phycoerythrin-associated linker protein,K05382
2641945076,K02290,phycobilisome rod-core linker protein,K02290
2641945083,K14540,ribosome biogenesis GTPase A,K14540
2641945085,K00927,phosphoglycerate kinase [EC:2.7.2.3],K00927
2641945086,K02012,iron(III) transport system substrate-binding protein,K02012
2641945089,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
2641945097,K03497,"ParB family transcriptional regulator, chromosome partitioning protein",K03497
2641945098,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
2641945105,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
2641945112,K05592,ATP-dependent RNA helicase DeaD [EC:3.6.4.13],K05592
2641945114,K23139,cytochrome P450 family 110 [EC:1.14.-.-],K23139
2641945116,K07491,REP-associated tyrosine transposase,K07491
2641945117,K07491,REP-associated tyrosine transposase,K07491
2641945129,K03856,3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54],K03856
2641945132,K02956,small subunit ribosomal protein S15,K02956
2641945133,K03550,holliday junction DNA helicase RuvA [EC:5.6.2.4],K03550
2641945136,K03550,holliday junction DNA helicase RuvA [EC:5.6.2.4],K03550
2641945137,K02717,photosystem II oxygen-evolving enhancer protein 2,K02717
2641945138,K06287,nucleoside triphosphate pyrophosphatase [EC:3.6.1.-],K06287
2641945139,K24157,thioredoxin-dependent peroxiredoxin [EC:1.11.1.24],K24157
2641945141,K01776,glutamate racemase [EC:5.1.1.3],K01776
2641945146,K05356,all-trans-nonaprenyl-diphosphate synthase [EC:2.5.1.84 2.5.1.85],K05356
2641945149,K22452,protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13],K22452
2641945150,K02313,chromosomal replication initiator protein,K02313
2641945151,K00162,pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1],K00162
2641945152,K03072,preprotein translocase subunit SecD,K03072
2641945153,K03074,preprotein translocase subunit SecF,K03074
2641945172,K07056,16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198],K07056
2641945173,K11754,dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17],K11754
2641945174,K17244,putative chitobiose transport system substrate-binding protein,K17244
2641945175,K02662,type IV pilus assembly protein PilM,K02662
2641945176,K02663,type IV pilus assembly protein PilN,K02663
2641945177,K02664,type IV pilus assembly protein PilO,K02664
2641945180,K01485,cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21],K01485
2641945181,K09919,uncharacterized protein,K09919
2641945183,K00003,homoserine dehydrogenase [EC:1.1.1.3],K00003
2641945189,K18208,renalase [EC:1.6.3.5],K18208
2641945196,K01711,"GDPmannose 4,6-dehydratase [EC:4.2.1.47]",K01711
2641945197,K16566,exopolysaccharide production protein ExoY,K16566
2641945198,K01406,serralysin [EC:3.4.24.40],K01406
2641945199,K10206,LL-diaminopimelate aminotransferase [EC:2.6.1.83],K10206
2641945207,K09022,2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10],K09022
2641945208,K01768,adenylate cyclase [EC:4.6.1.1],K01768
2641945209,K03427,type I restriction enzyme M protein [EC:2.1.1.72],K03427
2641945213,K01153,"type I restriction enzyme, R subunit [EC:3.1.21.3]",K01153
2641945215,K05520,protease I [EC:3.5.1.124],K05520
2641945216,K03596,GTP-binding protein LepA,K03596
2641945219,K07496,putative transposase,K07496
2641945220,K07496,putative transposase,K07496
2641945223,K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],K00806
2641945224,K18672,diadenylate cyclase [EC:2.7.7.85],K18672
2641945225,K01586,diaminopimelate decarboxylase [EC:4.1.1.20],K01586
2641945226,K03789,[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266],K03789
2641945227,K03696,ATP-dependent Clp protease ATP-binding subunit ClpC,K03696
2641945228,K11209,GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-],K11209
2641945235,K24842,IQ domain-containing protein H,K24842
2641945241,K02031,peptide/nickel transport system ATP-binding protein,K02031
2641945249,K02660,twitching motility protein PilJ,K02660
2641945251,K02658,twitching motility two-component system response regulator PilH,K02658
2641945252,K02657,twitching motility two-component system response regulator PilG,K02657
2641945254,K04075,tRNA(Ile)-lysidine synthase [EC:6.3.4.19],K04075
2641945255,K03206,azobenzene reductase [EC:1.7.1.6],K03206
2641945256,K03798,cell division protease FtsH [EC:3.4.24.-],K03798
2641945262,K07451,5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-],K07451
2641945275,K11753,riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2],K11753
2641945277,K03924,MoxR-like ATPase [EC:3.6.3.-],K03924
2641945278,K02227,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],K02227
2641945281,K02825,pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9],K02825
2641945282,K01005,polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase [EC:2.7.8.-],K01005
2641945283,K00971,mannose-1-phosphate guanylyltransferase [EC:2.7.7.13],K00971
2641945287,K01653,acetolactate synthase I/III small subunit [EC:2.2.1.6],K01653
2641945289,K06180,23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23],K06180
2641945292,K00855,phosphoribulokinase [EC:2.7.1.19],K00855
2641945295,K01935,dethiobiotin synthetase [EC:6.3.3.3],K01935
2641945296,K02288,phycocyanobilin lyase subunit alpha [EC:4.4.1.32],K02288
2641945297,K03587,cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4],K03587
2641945300,K00700,"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]",K00700
2641945305,K01406,serralysin [EC:3.4.24.40],K01406
2641945306,K02379,FdhD protein,K02379
2641945307,K01174,micrococcal nuclease [EC:3.1.31.1],K01174
2641945311,K01838,beta-phosphoglucomutase [EC:5.4.2.6],K01838
2641945314,K07100,putative phosphoribosyl transferase,K07100
2641945316,K21929,uracil-DNA glycosylase [EC:3.2.2.27],K21929
2641945321,K00099,1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],K00099
2641945322,K25380,"zinc metalloprotease EGY, chloroplastic [EC:3.4.24.-]",K25380
2641945323,K01406,serralysin [EC:3.4.24.40],K01406
2641945326,K00275,pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5],K00275
2641945327,K00640,serine O-acetyltransferase [EC:2.3.1.30],K00640
2641945328,K05515,penicillin-binding protein 2 [EC:3.4.16.4],K05515
2641945332,K05585,NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2],K05585
2641945333,K02906,large subunit ribosomal protein L3,K02906
2641945334,K02926,large subunit ribosomal protein L4,K02926
2641945335,K02892,large subunit ribosomal protein L23,K02892
2641945336,K02886,large subunit ribosomal protein L2,K02886
2641945337,K02965,small subunit ribosomal protein S19,K02965
2641945338,K02890,large subunit ribosomal protein L22,K02890
2641945339,K02982,small subunit ribosomal protein S3,K02982
2641945340,K02878,large subunit ribosomal protein L16,K02878
2641945341,K02904,large subunit ribosomal protein L29,K02904
2641945342,K02961,small subunit ribosomal protein S17,K02961
2641945343,K02874,large subunit ribosomal protein L14,K02874
2641945344,K02895,large subunit ribosomal protein L24,K02895
2641945345,K02931,large subunit ribosomal protein L5,K02931
2641945346,K02994,small subunit ribosomal protein S8,K02994
2641945347,K02933,large subunit ribosomal protein L6,K02933
2641945348,K02881,large subunit ribosomal protein L18,K02881
2641945349,K02988,small subunit ribosomal protein S5,K02988
2641945350,K02876,large subunit ribosomal protein L15,K02876
2641945358,K11690,"C4-dicarboxylate transporter, DctM subunit",K11690
2641945360,K00797,spermidine synthase [EC:2.5.1.16],K00797
2641945363,K00826,branched-chain amino acid aminotransferase [EC:2.6.1.42],K00826
2641945365,K06203,CysZ protein,K06203
2641945366,K00518,nickel superoxide dismutase [EC:1.15.1.1],K00518
2641945373,K01406,serralysin [EC:3.4.24.40],K01406
2641945374,K04771,serine protease Do [EC:3.4.21.107],K04771
2641945375,K02050,NitT/TauT family transport system permease protein,K02050
2641945378,K03574,8-oxo-dGTP diphosphatase [EC:3.6.1.55],K03574
2641945379,K01881,prolyl-tRNA synthetase [EC:6.1.1.15],K01881
2641945383,K02160,acetyl-CoA carboxylase biotin carboxyl carrier protein,K02160
2641945385,K02356,elongation factor P,K02356
2641945389,K03100,signal peptidase I [EC:3.4.21.89],K03100
2641945393,K02049,NitT/TauT family transport system ATP-binding protein,K02049
2641945398,K04043,molecular chaperone DnaK,K04043
2641945405,K02294,beta-carotene hydroxylase [EC:1.14.13.-],K02294
2641945407,K00873,pyruvate kinase [EC:2.7.1.40],K00873
2641945410,K01737,6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50],K01737
2641945418,K01579,aspartate 1-decarboxylase [EC:4.1.1.11],K01579
2641945423,K00950,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3],K00950
2641945424,K01633,"7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]",K01633
2641945428,K00036,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],K00036
2641945429,K00616,transaldolase [EC:2.2.1.2],K00616
2641945430,K03841,"fructose-1,6-bisphosphatase I [EC:3.1.3.11]",K03841
2641945432,K17623,pseudouridine 5'-phosphatase [EC:3.1.3.96],K17623
2641945434,K01406,serralysin [EC:3.4.24.40],K01406
2641945439,K15977,putative oxidoreductase,K15977
2641945442,K06877,DEAD/DEAH box helicase domain-containing protein,K06877
2641945445,K00772,5'-methylthioadenosine phosphorylase [EC:2.4.2.28],K00772
2641945447,K00835,valine--pyruvate aminotransferase [EC:2.6.1.66],K00835
2641945453,K23535,general nucleoside transport system permease protein,K23535
2641945455,K23536,general nucleoside transport system permease protein,K23536
2641945456,K23139,cytochrome P450 family 110 [EC:1.14.-.-],K23139
2641945457,K00688,glycogen phosphorylase [EC:2.4.1.1],K00688
2641945459,K18814,putative inorganic carbon (hco3(-)) transporter,K18814
2641945463,K00764,amidophosphoribosyltransferase [EC:2.4.2.14],K00764
2641945465,K03181,chorismate lyase [EC:4.1.3.40],K03181
2641945476,K03524,"BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]",K03524
2641945477,K05810,purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4],K05810
2641945479,K02035,peptide/nickel transport system substrate-binding protein,K02035
2641945483,K09819,manganese/iron transport system permease protein,K09819
2641945493,K03605,hydrogenase maturation protease [EC:3.4.23.-],K03605
2641945494,K23549,uptake hydrogenase large subunit [EC:1.12.99.6],K23549
2641945495,K23548,uptake hydrogenase small subunit [EC:1.12.99.6],K23548
2641945509,K01462,peptide deformylase [EC:3.5.1.88],K01462
2641945513,K04037,light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7],K04037
2641945514,K04038,light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7],K04038
2641945524,K00612,carbamoyltransferase [EC:2.1.3.-],K00612
2641945527,K02564,glucosamine-6-phosphate deaminase [EC:3.5.99.6],K02564
2641945531,K22684,metacaspase-1 [EC:3.4.22.-],K22684
2641945532,K01251,adenosylhomocysteinase [EC:3.13.2.1],K01251
2641945537,K01772,protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9],K01772
2641945544,K20074,PPM family protein phosphatase [EC:3.1.3.16],K20074
2641945545,K07462,single-stranded-DNA-specific exonuclease [EC:3.1.-.-],K07462
2641945554,K00991,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60],K00991
2641945565,K19694,"two-component system, sensor histidine kinase ChiS",K19694
2641945566,K00341,NADH-quinone oxidoreductase subunit L [EC:7.1.1.2],K00341
2641945567,K05575,NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2],K05575
2641945572,K01682,aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],K01682
2641945579,K05583,NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2],K05583
2641945581,K01695,tryptophan synthase alpha chain [EC:4.2.1.20],K01695
2641945582,K10257,acyl-lipid omega-3 desaturase [EC:1.14.19.25 1.14.19.35 1.14.19.36],K10257
2641945584,K01265,methionyl aminopeptidase [EC:3.4.11.18],K01265
2641945588,K01726,gamma-carbonic anhydrase [EC:4.2.1.-],K01726
2641945589,K02723,photosystem II PsbY protein,K02723
2641945592,K01925,UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9],K01925
2641945596,K00847,fructokinase [EC:2.7.1.4],K00847
2641945598,K00851,gluconokinase [EC:2.7.1.12],K00851
2641945602,K07263,zinc protease [EC:3.4.24.-],K07263
2641945609,K03636,sulfur-carrier protein,K03636
2641945610,K01733,threonine synthase [EC:4.2.3.1],K01733
2641945611,K03636,sulfur-carrier protein,K03636
2641945617,K03118,sec-independent protein translocase protein TatC,K03118
2641945635,K02705,photosystem II CP43 chlorophyll apoprotein,K02705
2641945640,K03215,23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190],K03215
2641945647,K01872,alanyl-tRNA synthetase [EC:6.1.1.7],K01872
2641945648,K07496,putative transposase,K07496
2641945650,K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],K00558
2641945673,K03701,excinuclease ABC subunit A,K03701
2641945676,K07492,putative transposase,K07492
2641945677,K07071,uncharacterized protein,K07071
2641945680,K13628,iron-sulfur cluster assembly protein,K13628
2641945683,K00514,zeta-carotene desaturase [EC:1.3.5.6],K00514
2641945687,K02232,adenosylcobyric acid synthase [EC:6.3.5.10],K02232
2641945689,K03564,thioredoxin-dependent peroxiredoxin [EC:1.11.1.24],K03564
2641945692,K00791,tRNA dimethylallyltransferase [EC:2.5.1.75],K00791
2641945693,K01792,glucose-6-phosphate 1-epimerase [EC:5.1.3.15],K01792
2641945698,K14445,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5",K14445
2641945714,K00763,nicotinate phosphoribosyltransferase [EC:6.3.4.21],K00763
2641945719,K07192,flotillin,K07192
2641945720,K07192,flotillin,K07192
2641945724,K07090,uncharacterized protein,K07090
2641945725,K03639,"GTP 3',8-cyclase [EC:4.1.99.22]",K03639
2641945728,K02241,competence protein ComFB,K02241
2641945731,K01689,enolase [EC:4.2.1.11],K01689
2641945736,K02004,putative ABC transport system permease protein,K02004
2641945737,K22278,peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104],K22278
2641945738,K13799,pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25],K13799
2641945739,K01918,pantoate--beta-alanine ligase [EC:6.3.2.1],K01918
2641945740,K03642,rare lipoprotein A,K03642
2641945742,K01933,phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1],K01933
2641945743,K11070,spermidine/putrescine transport system permease protein,K11070
2641945744,K11071,spermidine/putrescine transport system permease protein,K11071
2641945746,K11072,spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11],K11072
2641945749,K25153,gliding motility-associatede transport system auxiliary component,K25153
2641945755,K03685,ribonuclease III [EC:3.1.26.3],K03685
2641945756,K03568,TldD protein,K03568
2641945757,K21147,sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-],K21147
2641945767,K02221,YggT family protein,K02221
2641945768,K01961,"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",K01961
